Entity,Code,Year,nuclwarh_firststr_area
China,CHN,1964,6.046869
China,CHN,1965,30.234344
China,CHN,1966,109.74947
China,CHN,1967,128.79591
China,CHN,1968,1758.5328
China,CHN,1969,2225.3145
China,CHN,1970,2890.2366
China,CHN,1971,3845.6528
China,CHN,1972,6684.3643
China,CHN,1973,9123.987
China,CHN,1974,11045.375
China,CHN,1975,11962.699
China,CHN,1976,11962.698
China,CHN,1977,11962.698
China,CHN,1978,12901.876
China,CHN,1979,13822.007
China,CHN,1980,14761.183
China,CHN,1981,15339.706
China,CHN,1982,15920.695
China,CHN,1983,16572.186
China,CHN,1984,17284.531
China,CHN,1985,17073.922
China,CHN,1986,17218.05
China,CHN,1987,18241.41
China,CHN,1988,18091.816
China,CHN,1989,18738.76
China,CHN,1990,18042.645
China,CHN,1991,17381.494
China,CHN,1992,17381.494
China,CHN,1993,17381.494
China,CHN,1994,17381.494
China,CHN,1995,17381.494
China,CHN,1996,18256.205
China,CHN,1997,18077.11
China,CHN,1998,18077.11
China,CHN,1999,17575.615
China,CHN,2000,17575.615
China,CHN,2001,17844.256
China,CHN,2002,17809.29
China,CHN,2003,17809.29
China,CHN,2004,17809.29
China,CHN,2005,17809.29
China,CHN,2006,8436.48
China,CHN,2007,8760.845
China,CHN,2008,9094.757
China,CHN,2009,9210.601
China,CHN,2010,8640.732
France,FRA,1960,0
France,FRA,1961,0
France,FRA,1962,0
France,FRA,1963,0
France,FRA,1964,31.694557
France,FRA,1965,253.55646
France,FRA,1966,285.25104
France,FRA,1967,285.25104
France,FRA,1968,285.25104
France,FRA,1969,285.25104
France,FRA,1970,285.25104
France,FRA,1971,398.45297
France,FRA,1972,1032.7583
France,FRA,1973,1553.8617
France,FRA,1974,1553.8617
France,FRA,1975,1553.8617
France,FRA,1976,1522.167
France,FRA,1977,2349.367
France,FRA,1978,3063.365
France,FRA,1979,3063.365
France,FRA,1980,4027.6565
France,FRA,1981,4027.6565
France,FRA,1982,4027.6565
France,FRA,1983,4461.262
France,FRA,1984,4461.262
France,FRA,1985,5035.227
France,FRA,1986,5095.0034
France,FRA,1987,5760.44
France,FRA,1988,5804.3696
France,FRA,1989,5804.3696
France,FRA,1990,6378.3345
France,FRA,1991,6952.2993
France,FRA,1992,6952.2993
France,FRA,1993,6952.2993
France,FRA,1994,6952.2993
France,FRA,1995,6952.2993
France,FRA,1996,6620.4233
France,FRA,1997,6315.383
France,FRA,1998,6315.383
France,FRA,1999,6315.383
France,FRA,2000,5983.507
France,FRA,2001,4698.186
France,FRA,2002,4698.186
France,FRA,2003,4698.186
France,FRA,2004,4698.186
France,FRA,2005,4366.31
France,FRA,2006,4366.31
France,FRA,2007,4366.31
France,FRA,2008,3831.6658
France,FRA,2009,3831.6658
France,FRA,2010,3831.6658
India,IND,1988,0
India,IND,1989,0
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,9.4334955
India,IND,1995,9.4334955
India,IND,1996,9.4334955
India,IND,1997,9.4334955
India,IND,1998,9.4334955
India,IND,1999,25.155989
India,IND,2000,40.87848
India,IND,2001,56.600967
India,IND,2002,72.32346
India,IND,2003,98.25227
India,IND,2004,113.97475
India,IND,2005,157.76462
India,IND,2006,173.4871
India,IND,2007,208.2565
India,IND,2008,239.70148
India,IND,2009,273.69803
India,IND,2010,305.14304
Pakistan,PAK,1990,0
Pakistan,PAK,1991,0
Pakistan,PAK,1992,0
Pakistan,PAK,1993,0
Pakistan,PAK,1994,0
Pakistan,PAK,1995,5.419693
Pakistan,PAK,1996,5.419693
Pakistan,PAK,1997,5.419693
Pakistan,PAK,1998,5.419693
Pakistan,PAK,1999,21.678772
Pakistan,PAK,2000,37.93785
Pakistan,PAK,2001,54.196934
Pakistan,PAK,2002,70.45602
Pakistan,PAK,2003,161.21216
Pakistan,PAK,2004,279.4592
Pakistan,PAK,2005,339.42743
Pakistan,PAK,2006,399.39563
