Entity,Code,Year,nuclwarh_firststr_yield
China,CHN,1964,0.11696071
China,CHN,1965,0.5848036
China,CHN,1966,2.1228137
China,CHN,1967,2.491217
China,CHN,1968,34.014175
China,CHN,1969,43.04283
China,CHN,1970,55.903996
China,CHN,1971,74.384
China,CHN,1972,129.29138
China,CHN,1973,176.47945
China,CHN,1974,213.64362
China,CHN,1975,231.38683
China,CHN,1976,231.38681
China,CHN,1977,231.38681
China,CHN,1978,249.55272
China,CHN,1979,267.35022
China,CHN,1980,285.5161
China,CHN,1981,296.70612
China,CHN,1982,307.94382
China,CHN,1983,320.54517
China,CHN,1984,334.32364
China,CHN,1985,330.24994
China,CHN,1986,333.03775
China,CHN,1987,352.8319
China,CHN,1988,349.93842
China,CHN,1989,362.45184
China,CHN,1990,348.9873
China,CHN,1991,336.1991
China,CHN,1992,336.1991
China,CHN,1993,336.1991
China,CHN,1994,336.1991
China,CHN,1995,336.1991
China,CHN,1996,353.11807
China,CHN,1997,349.65396
China,CHN,1998,349.65396
China,CHN,1999,339.95386
China,CHN,2000,339.95386
China,CHN,2001,345.15002
China,CHN,2002,344.4737
China,CHN,2003,344.4737
China,CHN,2004,344.4737
China,CHN,2005,344.4737
China,CHN,2006,163.18144
China,CHN,2007,169.45541
China,CHN,2008,175.91406
China,CHN,2009,178.15475
China,CHN,2010,167.13216
France,FRA,1960,0
France,FRA,1961,0
France,FRA,1962,0
France,FRA,1963,0
France,FRA,1964,0.61304754
France,FRA,1965,4.9043803
France,FRA,1966,5.517428
France,FRA,1967,5.517428
France,FRA,1968,5.517428
France,FRA,1969,5.517428
France,FRA,1970,5.517428
France,FRA,1971,7.7070208
France,FRA,1972,19.975983
France,FRA,1973,30.055351
France,FRA,1974,30.055351
France,FRA,1975,30.055351
France,FRA,1976,29.442303
France,FRA,1977,45.442303
France,FRA,1978,59.25271
France,FRA,1979,59.25271
France,FRA,1980,77.90438
France,FRA,1981,77.90438
France,FRA,1982,77.90438
France,FRA,1983,86.291336
France,FRA,1984,86.291336
France,FRA,1985,97.39317
France,FRA,1986,98.54939
France,FRA,1987,111.4205
France,FRA,1988,112.2702
France,FRA,1989,112.2702
France,FRA,1990,123.37204
France,FRA,1991,134.47388
France,FRA,1992,134.47388
France,FRA,1993,134.47388
France,FRA,1994,134.47388
France,FRA,1995,134.47388
France,FRA,1996,128.05461
France,FRA,1997,122.1544
France,FRA,1998,122.1544
France,FRA,1999,122.1544
France,FRA,2000,115.73514
France,FRA,2001,90.87401
France,FRA,2002,90.87401
France,FRA,2003,90.87401
France,FRA,2004,90.87401
France,FRA,2005,84.45474
France,FRA,2006,84.45474
France,FRA,2007,84.45474
France,FRA,2008,74.11346
France,FRA,2009,74.11346
France,FRA,2010,74.11346
India,IND,1988,0
India,IND,1989,0
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,0.18246606
India,IND,1995,0.18246606
